shapeID,label,comment,target,targetType,Closed,mandatory,severity,Note
AcademicAwardShape,Academic Award,,pesc:AcademicAward,class,,,,
AcademicAwardProgramShape,Academic Award Program,,pesc:AcademicAwardProgram,objectsof,,,,
AcademicDegreeRequirementShape,Academic Degree Requirement,,pesc:AcademicDegreeRequirement,class,,,,
AcademicHonorsShape,Academic Honors,,pesc:AcademicHonors,class,,,,
AcademicProgramShape,Academic Program,,pesc:_AcademicProgram,objectsof,,,,
AcademicRecordShape,Academic Record,,pesc:AcademicRecord,class,,,,
AcademicSessionShape,Academic Session,,pesc:AcademicSession,class,,,,
AcademicSessionDetailShape,Academic Session Detail,,pesc:AcademicSessionDetail,class,,,,
AcademicSummaryShape,Academic Summary,,pesc:AcademicSummary,class,,,,
AccreditationShape,Accreditation,,pesc:Accreditation,class,,,,
AddressShape,Address,,pesc:Address,class,,,,
AgencyIdentifierShape,Agency Identifier,,pesc:AgencyIdentifier,class,,,,
AlternateNameShape,Alternate Name,,pesc:AlternateName,class,,,,
CollegeTranscriptShape,College Transcript,,pesc:CollegeTranscript,class,,,,
ConceptShape,SKOS Concept,,skos:Concept,class,,,,
ContactShape,Contact,,pesc:Contact,class,,,,
CourseShape,Course,,pesc:Course,class,,,,
CourseRepeatCodeShape,Course Repeat Code,,pesc:CourseRepeatCode,class,,,,
CourseSupplementalGradeShape,Course Supplemental Grade,,pesc:CourseSupplementalGrade,class,,,,
FAXPhoneShape,FAX Phone,,pesc:FAXPhone,class,,,,
GPAShape,GPA,,pesc:GPA,class,,,,
ImmunizationsShape,Immunizations,,pesc:Immunizations,class,,,,
LanguageShape,Language,,pesc:Language,class,,,,
LanguageOfInstructionShape,Language Of Instruction,,pesc:LanguageOfInstruction,class,,,,
LicensureShape,Licensure,,pesc:Licensure,class,,,,
LocalOrganizationIDShape,Local Organization ID,,pesc:LocalOrganizationID,class,,,,
NameShape,Name,,pesc:Name,class,,,,
OrganizationShape,Organization,,pesc:Organization,class,,,,
PhoneShape,Phone,,pesc:Phone,class,,,,
ProgramSummaryShape,Program Summary,,pesc:ProgramSummary,class,,,,
ResidencyShape,Residency,,pesc:Residency,class,,,,
SchoolShape,School,,pesc:school,objectsof,,,,
StudentShape,Student,,pesc:student,objectsof,,,,
SubTestShape,Sub Test,,pesc:SubTest,class,,,,
TestsShape,Tests,,pesc:Tests,class,,,,
TestScoresShape,Test Scores,,pesc:TestScores,class,,,,
TransmissionDataShape,Transmission Data,,pesc:TransmissionData,class,,,,
__NoteMessageShape,Note Message,Probably not needed,pesc:__NoteMessage,class,,,,
__UserDefinedExtensionsShape,User Defined Extensions,Probably not needed,__UserDefinedExtensions,class,,,,
TBDShape,To Be Done,To Be Done,pesc:TBD,class,,,,
AdditionalStudentAchievmentShape,To Be Done,,pesc:additionalStudentAchievment,objectsof,,,,
RAPShape,"Requirement, Attribute or Proficiency",,pesc:RequirementAttributeProficiency,class,,,,
